timestamp,left_ear,right_ear,avg_ear,is_blinking,blink_count,h_gaze,v_gaze,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y,iris_relative_x,iris_relative_y
1743122681.374429,0.39993348465004014,0.46312821619566746,0.4315308504228538,False,9,Right,Up,524,318,657,318,-0.0007626722700126952,-0.06919058516384563
1743122681.407381,0.4215611125558041,0.458927557785565,0.4402443351706845,False,9,Right,Up,524,319,658,318,0.0016158569623890007,-0.04694035603776986
1743122681.441445,0.4342285640502963,0.4640682429096495,0.44914840347997287,False,9,Right,Up,524,319,658,318,-0.0024339077165864524,-0.07479037424988605
1743122681.473776,0.4367539345422861,0.4553427102637774,0.4460483224030317,False,9,Right,Up,524,319,658,318,0.005750955655785948,-0.03857906850068643
1743122681.506649,0.4378823850606843,0.47966725001983573,0.45877481754026,False,9,Right,Up,524,319,658,318,-0.0008909145433461697,-0.03507086121366648
1743122681.540448,0.45277787080595744,0.4888532149239295,0.4708155428649435,False,9,Right,Up,524,319,658,318,-0.0009777263356923228,-0.033990999240110564
1743122681.575117,0.45121818555147764,0.47982624833055526,0.4655222169410165,False,9,Right,Up,524,319,658,318,-0.0023273157620862413,-0.052985750768367035
1743122681.607316,0.45658709523345026,0.470517836117864,0.4635524656756571,False,9,Right,Up,524,319,658,319,-0.005387585146164529,-0.005290243632677993
1743122681.641024,0.4649976343359243,0.47659780903989774,0.470797721687911,False,9,Right,Up,524,319,658,319,-0.0018567254417757861,-0.016077851543329358
1743122681.674109,0.45893963400927446,0.48553153933792265,0.47223558667359855,False,9,Right,Up,524,319,658,319,-0.0037157042618184005,-0.01714401666349613
1743122681.707135,0.48430843342980945,0.497733159585949,0.4910207965078792,False,9,Center,Up,523,319,658,319,-0.0037733671128088835,-0.011397140490446767
1743122681.7415922,0.5139158806255402,0.4974548198549631,0.5056853502402516,False,9,Center,Up,524,320,658,319,0.000534522641362771,-0.006290928567498522
1743122681.774749,0.5157506242903489,0.4919827380787988,0.5038666811845738,False,9,Center,Up,524,320,658,319,-0.0026479785034155684,0.026639694992085572
1743122681.808924,0.5231773461150353,0.5082694195979932,0.5157233828565142,False,9,Center,Up,524,320,658,320,-0.002393544117027132,0.031780144760622575
1743122681.838109,0.5167062857404303,0.484090393577941,0.5003983396591857,False,9,Center,Up,523,320,657,319,-0.010392054190404905,0.025100191843934916
1743122681.874068,0.5039452615318556,0.5065046956616909,0.5052249785967733,False,9,Center,Up,522,320,655,319,-0.021816388213539803,0.01825629803212986
1743122681.907,0.47270525323483725,0.5272189605659809,0.4999621069004091,False,9,Center,Up,521,320,655,319,-0.032794405006892756,0.0306430890160026
1743122681.9409652,0.4811552698240121,0.5239752685041096,0.5025652691640609,False,9,Center,Up,520,320,654,319,-0.03162560511103045,0.0579519083713434
1743122681.974139,0.4934446094858316,0.5428763680006728,0.5181604887432523,False,9,Center,Up,520,320,654,319,-0.038726582269881335,0.08847374498392885
1743122682.008467,0.5235844142829075,0.531702186012745,0.5276433001478262,False,9,Center,Up,520,321,654,319,-0.03477040543571979,0.11464122843644226
1743122682.041554,0.5210106582379379,0.5316302902545809,0.5263204742462594,False,9,Left,Down,520,321,653,319,-0.03892088871241302,0.11527683280438944
1743122682.073847,0.5281784212737732,0.5234164298630845,0.5257974255684288,False,9,Left,Down,520,321,653,319,-0.03732190884174416,0.09115354661219616
1743122682.1079738,0.5761247892406748,0.5503389128029736,0.5632318510218242,False,9,Left,Down,520,321,653,320,-0.03921433588493228,0.121447351498778
1743122682.140404,0.542063080511544,0.5540045264536071,0.5480338034825756,False,9,Left,Down,519,321,653,319,-0.035717246337907974,0.1212214566623861
1743122682.1744692,0.5428613289834829,0.5668088561775906,0.5548350925805368,False,9,Left,Down,520,321,653,320,-0.04120756472354685,0.13072083443586352
1743122682.2069829,0.5364540320217386,0.5666054447336136,0.551529738377676,False,9,Left,Down,519,321,652,320,-0.040593116334250764,0.1183136848127157
1743122682.241173,0.5710273352797555,0.5804682756770564,0.575747805478406,False,9,Left,Down,519,322,653,320,-0.0335170872139246,0.13189155687050086
1743122682.274264,0.5581155871666104,0.5770277245622776,0.5675716558644439,False,9,Left,Down,519,322,653,321,-0.03714029453724151,0.13757907557782695
1743122682.3070269,0.560715946224894,0.5745177680171136,0.5676168571210038,False,9,Left,Down,519,322,653,321,-0.03994007325016166,0.15823345161650532
1743122682.340242,0.5531271214537188,0.5742125443139421,0.5636698328838304,False,9,Left,Down,519,322,653,321,-0.04161683227461145,0.14739210870626557
1743122682.3724952,0.5618353363341705,0.5718621567079618,0.5668487465210661,False,9,Left,Down,519,322,652,321,-0.03822391326987649,0.14982383527848403
1743122682.404555,0.5564478266933562,0.5761938060465364,0.5663208163699462,False,9,Left,Down,519,323,653,322,-0.03844771821076593,0.153205892614853
1743122682.441165,0.5441646336197946,0.5862292595999523,0.5651969466098734,False,9,Left,Down,519,323,653,322,-0.03852208514651738,0.1738412542021644
1743122682.474476,0.5446476543513015,0.5795408273911059,0.5620942408712037,False,9,Left,Down,519,323,652,322,-0.037407204610654284,0.16175022048366078
1743122682.507856,0.5433758801359202,0.5600314393454617,0.551703659740691,False,9,Left,Down,519,323,652,322,-0.03601012561672474,0.1289374729063753
1743122682.540097,0.5246142629043341,0.5577597937406001,0.5411870283224671,False,9,Left,Down,519,323,652,323,-0.03441663653953853,0.14417866847071098
1743122682.57307,0.5222329713488375,0.5772920545867982,0.5497625129678179,False,9,Left,Down,519,323,652,323,-0.03139867210051689,0.14728619921845315
1743122682.607602,0.4994227751328081,0.5565499088093666,0.5279863419710873,False,9,Left,Down,519,323,652,323,-0.034674710250152924,0.12273057078562305
1743122682.637981,0.517194160551123,0.545697501123258,0.5314458308371905,False,9,Left,Down,519,323,653,322,-0.02639945984166152,0.11797739516421385
1743122682.6748412,0.5161812575405175,0.5457841699560323,0.5309827137482749,False,9,Left,Down,519,323,652,322,-0.028765385353928603,0.09480267250116375
1743122682.707999,0.5336414697710197,0.5237479332145633,0.5286947014927914,False,9,Left,Down,519,323,652,322,-0.0304379833531839,0.09062829596742011
1743122682.74132,0.5627261733693888,0.5500369728923988,0.5563815731308939,False,9,Left,Down,519,323,653,322,-0.032854100951972026,0.10861156176099934
1743122682.7733881,0.5460059870805105,0.5578063930537388,0.5519061900671247,False,9,Left,Down,519,323,652,321,-0.034126114452162064,0.12815811168416374
1743122682.8077629,0.5613774353142625,0.5722983130222461,0.5668378741682543,False,9,Left,Down,519,323,653,321,-0.0383966603933828,0.13518240771443973
1743122682.839926,0.5692566505251242,0.5735280078399742,0.5713923291825491,False,9,Left,Down,519,322,652,321,-0.03869582544221473,0.13682277287142314
1743122682.873578,0.5589194288219632,0.6047615232236299,0.5818404760227965,False,9,Left,Down,520,322,652,321,-0.04053876335530213,0.13939001895795072
1743122682.90673,0.5393654547350057,0.578957289745962,0.5591613722404838,False,9,Left,Down,519,322,653,321,-0.03868318167846796,0.11258960016638736
1743122682.9414191,0.559137800889038,0.5938939079130047,0.5765158544010214,False,9,Left,Down,519,322,653,321,-0.0412293328262646,0.15300475654967666
1743122682.974636,0.5676288524928099,0.571936883366596,0.569782867929703,False,9,Left,Down,519,322,653,321,-0.036848969928580104,0.11915644112347207
1743122683.0069141,0.5673743307944557,0.5881298458563011,0.5777520883253784,False,9,Left,Down,520,322,653,320,-0.034622019041893166,0.14526525409460606
1743122683.04014,0.5616588699216858,0.5696008757796375,0.5656298728506617,False,9,Left,Down,520,321,653,320,-0.034276387877360176,0.1420303762092861
1743122683.073408,0.54178163598994,0.5748712292064416,0.5583264325981908,False,9,Left,Down,520,321,654,320,-0.030889715124247485,0.1526768666086175
1743122683.1069062,0.518799047644383,0.5696231548022896,0.5442111012233364,False,9,Left,Down,522,320,656,319,-0.018997359825919175,0.08095980048908419
1743122683.139918,0.5102550958891376,0.5732143450075491,0.5417347204483434,False,9,Left,Down,523,319,658,319,6.677184450664189e-05,0.07175682167878433
1743122683.171796,0.5135495814811438,0.5490769955232326,0.5313132885021883,False,9,Left,Down,526,321,660,319,0.021642279302826636,0.07723768722324992
1743122683.209022,0.5301540293895157,0.5919256458670714,0.5610398376282936,False,9,Left,Down,528,320,661,319,0.04243559245184129,0.04976656690608233
1743122683.239507,0.5260910863303941,0.5701615156585722,0.5481263009944832,False,9,Left,Down,529,320,662,319,0.042600499049106455,0.0800264941682996
1743122683.273783,0.5187964581460229,0.5790171313445587,0.5489067947452908,False,9,Left,Down,529,320,662,320,0.04372769336460759,0.06794080993062562
1743122683.307094,0.5441645481858101,0.579988029788835,0.5620762889873225,False,9,Left,Down,529,320,662,319,0.04477592105836809,0.08156781605773161
1743122683.339957,0.5437190217214316,0.5750758646550564,0.559397443188244,False,9,Left,Down,529,320,662,319,0.03703884199091511,0.07531800820206641
1743122683.373853,0.5319634850822413,0.5723710488171886,0.552167266949715,False,9,Left,Down,529,320,662,319,0.039349089588307885,0.04827622842386431
1743122683.40736,0.533908410438344,0.561869844753801,0.5478891275960724,False,9,Left,Down,529,320,662,319,0.038255682027603356,0.03791127725132287
1743122683.441128,0.5356572044908565,0.551076755964786,0.5433669802278213,False,9,Right,Down,529,320,662,319,0.04342838481685138,0.04904918501111705
1743122683.4731112,0.5301913555114852,0.5622674449639373,0.5462294002377113,False,9,Right,Down,529,320,662,319,0.04035626359891632,0.032553164339334584
1743122683.506624,0.5380122794762577,0.5833992915111035,0.5607057854936806,False,9,Right,Down,529,319,663,319,0.04132666916789484,0.060928790803250366
1743122683.54029,0.54391992054808,0.58031581075333,0.5621178656507051,False,9,Right,Down,529,319,663,319,0.0449930424211744,0.05585587889629634
1743122683.572612,0.5434921768683364,0.5882537906788812,0.5658729837736087,False,9,Right,Down,529,320,663,319,0.04194221878360095,0.049808054123222256
1743122683.606619,0.5313763047774072,0.5750309311806584,0.5532036179790327,False,9,Right,Down,528,319,662,319,0.03749164836387303,0.03572608098687008
1743122683.639871,0.5463712500288864,0.5214029644467465,0.5338871072378164,False,9,Right,Down,527,319,660,319,0.01811241941512961,0.06900465045707321
1743122683.674179,0.4998257587352954,0.5169991512943083,0.5084124550148018,False,9,Right,Down,523,319,656,318,-0.021053982155352074,0.10008475774282116
1743122683.706378,0.5393998340548778,0.5136233304867853,0.5265115822708315,False,9,Right,Down,521,319,654,318,-0.036452030280410164,0.14848995148019933
1743122683.739936,0.515726352388862,0.521120381020266,0.518423366704564,False,9,Right,Down,520,319,654,318,-0.03998259408439147,0.14204657431416517
1743122683.774001,0.5227504382514021,0.5333254344290058,0.5280379363402039,False,9,Right,Down,520,319,654,317,-0.036357302825847204,0.12979818546216043
1743122683.80639,0.5323510209221939,0.5530437952949632,0.5426974081085785,False,9,Right,Down,520,319,654,317,-0.03891497262642007,0.15499380122210088
1743122683.840085,0.552011380186103,0.5656444105442372,0.5588278953651701,False,9,Right,Down,520,319,654,317,-0.04086575118199842,0.1580209332463734
1743122683.8737411,0.5526279409264783,0.5670375479596179,0.5598327444430481,False,9,Right,Down,520,319,654,317,-0.03816049011908313,0.12686157984162322
1743122683.9057112,0.5512177681031972,0.5782178308140801,0.5647177994586386,False,9,Right,Down,520,319,654,317,-0.03523564033327245,0.14728678871909445
1743122683.9397619,0.5571352006810979,0.5811903174080574,0.5691627590445776,False,9,Right,Down,520,318,654,317,-0.03569271963001946,0.10953444190911582
1743122683.972811,0.5640589394340035,0.5806279491902949,0.5723434443121492,False,9,Left,Down,520,318,653,317,-0.034875313373170846,0.10743833888570803
1743122684.007091,0.560888035025915,0.575003255765258,0.5679456453955865,False,9,Left,Down,520,318,653,317,-0.03500621946305606,0.10566885128046971
1743122684.040044,0.5632955232512289,0.5850993715833035,0.5741974474172662,False,9,Left,Down,520,318,653,317,-0.034271593083318036,0.10902710571854263
1743122684.07322,0.5576633677562739,0.5869590034240875,0.5723111855901807,False,9,Left,Down,520,318,653,317,-0.03538881131650236,0.0995869147143506
1743122684.1074219,0.5736646902532202,0.5924307752003288,0.5830477327267745,False,9,Left,Down,520,318,653,317,-0.03297344722507136,0.10120650422622784
1743122684.1404219,0.5775534619019322,0.5710586272976665,0.5743060445997994,False,9,Left,Down,520,318,653,317,-0.0343583791602884,0.09983445961878729
1743122684.172528,0.5798218956861815,0.576900127787386,0.5783610117367837,False,9,Left,Down,520,319,653,318,-0.03522563837972384,0.09468821828423907
1743122684.205982,0.5517220212734338,0.5697876471654602,0.560754834219447,False,9,Left,Down,520,319,655,318,-0.032642726589697024,0.09958783966251067
1743122684.240204,0.4614932112308818,0.5036129762882452,0.48255309375956346,False,9,Left,Down,522,320,658,319,-0.005978421827925736,0.07218230659874886
1743122684.2731771,0.4694479255985753,0.48902186831769995,0.4792348969581376,False,9,Left,Down,524,321,659,319,0.003970499780111145,0.01385360927584306
1743122684.306411,0.491546621773741,0.5059050876027371,0.49872585468823905,False,9,Left,Down,525,321,659,320,0.016080678687589025,0.014425273224572044
1743122684.340671,0.5001769751657026,0.5155160140965762,0.5078464946311394,False,9,Left,Down,525,321,659,320,0.010930595648224642,0.010917727521487619
1743122684.373548,0.527087713408164,0.5319591667025833,0.5295234400553737,False,9,Left,Down,525,321,660,320,0.01627080152434729,0.010792652577003514
1743122684.406327,0.5052960555353029,0.5090821866888635,0.5071891211120831,False,9,Left,Down,527,322,661,321,0.026925436767047714,0.017545492267953045
1743122684.438886,0.4934112706124655,0.49405466061447234,0.4937329656134689,False,9,Left,Down,527,322,661,321,0.03051991608041331,0.025830743682091872
1743122684.4716532,0.4904077126439437,0.48912328601091465,0.4897654993274292,False,9,Left,Down,528,322,662,321,0.030590474973572687,0.03111544862704313
1743122684.5073228,0.511334371898557,0.508908843537415,0.510121607717986,False,9,Left,Down,528,322,662,321,0.02807214128776301,0.028120614411888345
1743122684.539843,0.5023395893540127,0.5284708273689513,0.515405208361482,False,9,Left,Down,528,322,662,322,0.03158616104132594,0.032351023247721156
1743122684.574532,0.484136497032037,0.5337212039469917,0.5089288504895144,False,9,Left,Down,528,323,662,322,0.032525618081765025,0.04096376128430784
1743122684.607454,0.4854816466224152,0.5256313874008763,0.5055565170116458,False,9,Right,Down,528,323,662,322,0.035813214831987045,0.043463593037307235
1743122684.639468,0.4936672044892835,0.5391126441150069,0.5163899243021453,False,9,Right,Down,529,323,662,322,0.0461276334919022,0.021348675924731497
1743122684.672891,0.4780142364423571,0.5371598296806384,0.5075870330614978,False,9,Right,Down,529,324,662,323,0.0397243337425793,0.019593621884271883
1743122684.705756,0.5082884362637378,0.5251571156228367,0.5167227759432873,False,9,Right,Down,530,324,662,323,0.043412666744556905,0.02601316114677893
